G,T_raw,V1,V2,V3,V4,V5,V6,V7,V8
1,21,8,1,0,2.07944154167984,7.81802793853073,1.11179423332214,0.0110576941866116,-6.5791930869724
1,25,9,1,0,1.6094379124341,8.23137604557397,1.25373530387878,0,-6.08994411946408
1,16,10,1,2.39789527279837,2.07944154167984,8.06808962627824,1.06835198402405,0,-6.51755878585273
1,16,5,1,0,1.79175946922805,8.13358741766097,1.15130472183227,0.00359775750347019,-6.000612277804
1,23,5,1,0,1.38629436111989,8.27231514795602,1.03793787956238,0.000924780759235638,-6.18269078938088
1,11,2,2,0,1.79175946922805,8.18060094759445,1.29154491424561,0,-6.66660999180204
1,16,6,1,1.09861228866811,3.17805383034795,8.06022424044096,1.23895955085754,0.00291709057277378,-6.88151024015255
1,25,8,1,0,1.94591014905531,1.09861228866811,1.00670039653778,0,-6.5845537863027
1,30,9,1,0.693147180559945,2.89037175789616,8.39366870513074,1.18557190895081,0,-6.35485889723847
1,28,13,1,0,3.29583686600433,7.73017479524622,1.0179603099823,0,-7.31786223876152
1,26,10,1,0,2.19722457733622,8.36427508499152,1.04310011863708,0.00175518807106415,-5.98159608718813
1,21,5,1,2.94443897916644,1.38629436111989,8.36590507720246,1.12373852729797,0.00433466497000935,-7.23624101003172
1,21,6,1,0,1.79175946922805,8.06022424044096,1.12285315990448,0.00119082819309413,-6.27137031524116
1,24,5,1,2.484906649788,2.19722457733622,8.30844552038576,1.32746410369873,0.0287345491079318,-6.81063717505375
1,22,4,1,0,2.30258509299405,8.02027047281924,1.16653215885162,0,-6.08520720387421
1,29,10,1,0,1.94591014905531,8.47198659857816,1.07503056526184,0.00253698397584725,-6.17906705110132
1,28,2,1,0,2.07944154167984,7.87777633327726,1.04654204845428,0.0105810181172319,-6.31192493611478
1,31,10,1,0,2.07944154167984,8.34569287325387,1.05098080635071,0,-7.08171257914245
1,20,7,1,3.40119738166215,2.30258509299405,8.40782465436087,1.42063307762146,0.0112796731111749,-6.3918846352677
1,28,7,1,0,1.6094379124341,8.45318786144033,1.08021903038025,0,-6.2420618417979
1,11,5,1,0,2.07944154167984,8.24143968982973,1.06910228729248,0,-6.32289017409616
1,27,7,1,0,2.30258509299405,8.39683183474505,1.14739882946014,0.00229032559419498,-6.51501146846657
